row,dataset_index,id,true,pred,correct,confidence,true_probability,snippet
230,1223,08el,Geometry,Combinatorics,False,0.9903378486633301,0.006704447790980339,Problem: Una mappa del tesoro è costituita dalla cartina di un'isola (infinitamente estesa in tutte le direzioni) a cui è sovrapposta una griglia quadrata. Le caselle della griglia sono numerate a spirale come in figura. I pirati hanno nascosto il loro tesoro 
916,23281,02wn,Combinatorics,Algebra,False,0.9902336597442627,0.004971139132976532,Problem: Vinte e cinco garotos e vinte e cinco garotas estão sentados ao redor de uma mesa. Prove que é possível encontrar uma pessoa que tem garotas como vizinhas.
270,16452,026h,Algebra,Combinatorics,False,0.989122211933136,0.006207916885614395,"Problem: Soma constante - Preencha as 5 casas em branco da tabela $3 \times 3$ com os números de $3$ a $8$, sem repeti-los, de modo que as somas dos $4$ números escritos nas subtabelas formadas por quadrados $2 \times 2$ sejam a mesma nas $4$ subtabelas. ![](a"
1407,7349,06i1,Number Theory,Combinatorics,False,0.9885313510894775,0.004780548624694347,"In a school there are $n$ students, each with a different student number. Each student number is a positive factor of $60^{60}$, and no student number is equal to the H.C.F. of the numbers of two other students. Find the greatest possible value of $n$. (2 mark"
1761,24629,0fsw,Algebra,Combinatorics,False,0.9871529936790466,0.0034766625612974167,"Problem: Auf einer kreisförmigen Rennbahn ist an $n$ verschiedenen Positionen je ein Auto startbereit. Jedes von ihnen fährt mit konstantem Tempo und braucht eine Stunde pro Runde. Sobald das Startsignal ertönt, fährt jedes Auto sofort los, egal in welche der "
2569,14897,0iqu,Number Theory,Combinatorics,False,0.9863818883895874,0.004518576432019472,"Problem: John M. is sitting at $(0, 0)$, looking across the aisle at his friends sitting at $(i, j)$ for each $1 \leq i \leq 10$ and $0 \leq j \leq 5$. Unfortunately, John can only see a friend if the line connecting them doesn't pass through any other friend."
1034,19594,0jt7,Algebra,Combinatorics,False,0.9850401878356934,0.005007185507565737,"Problem: Zlatan has $2017$ socks of various colours. He wants to proudly display one sock of each of the colours, and he counts that there are $N$ ways to select socks from his collection for display. Given this information, what is the maximum value of $N$?"
555,19984,029j,Algebra,Geometry,False,0.9848971366882324,0.0039016432128846645,"Problem: O triângulo de latas - Um menino tentou alinhar 480 latas em forma de um triângulo com uma lata na $1^{a}$ linha, 2 latas na $2^{a}$ e assim por diante. No fim sobraram 15 latas. Quantas linhas tem esse triângulo?"
795,21901,0k9p,Number Theory,Combinatorics,False,0.9847005605697632,0.004575949627906084,"Problem: To play the lottery game Sum Thing, you choose five distinct numbers from $1$ to $50$, then the lottery master chooses five distinct numbers from $1$ to $50$. If there exist a nonempty subset of your five numbers and a nonempty subset of the lottery m"
1142,9780,04hq,Algebra,Combinatorics,False,0.9832311868667603,0.007455945014953613,"Ten chairs are arranged around a round table and marked with numbers $1$ to $10$ successively (in such a way that chairs $1$ and $10$ are also adjacent), and a knight is sitting in each chair. In the beginning, every knight has an even number of coins. Simulta"
